rh0,rh1,powerAsymptote0,powerA0,powerB0,powerAsymptote1,powerA1,powerB1,inverseAsymptote0,inverseA0,inverseB0,inverseAsymptote1,inverseA1,inverseB1,baseline,stimulus,label,,,,,,,,,,,,,,,,
22.71,6.6,26.4760938594289,5.57711817730307,0.676444064873784,83.6713890450481,1.07453195671505,0.807436530710687,107.535334141856,105.545466046845,397.973619002145,87.165361178196,26.5692845359007,26056.3129561869,113.09,98.87,0,,,,,,,,,,,,,,,,
18.67,6.29,46.1776523450346,7.5622074317526,0.785783263859013,121.849402559704,1.1024871528044,0.872365983942557,240.160079263141,236.399718305539,752.072191520466,127.217416808434,36.2529205939494,39114.7333722286,251.34,144.26,0,,,,,,,,,,,,,,,,
18.92,6.4,37.7806296882507,6.85278971189451,0.741401786969075,114.222528331669,1.08752534493391,0.862915305001722,178.236123324541,175.467050489459,553.81456701644,120.372538126868,35.0430274180169,36691.6896048059,189.22,135.84,0,,,,,,,,,,,,,,,,
17.22,6.37,37.3018736732018,6.88479803791103,0.7338394419999,103.531362925188,1.0902616204066,0.844229021181021,173.709296436392,171.268818051494,488.095676979659,108.071016443536,31.7005270660426,32839.3104323222,185.17,123.26,0,,,,,,,,,,,,,,,,
41.62,40.83,109.761352789416,12.2925945834948,0.950805892411225,588.138831978725,1.16768076701633,1.15357307196837,826.160494332185,814.813963854961,2269.30609544489,729.335789814566,360.45482791162,158618.813618266,881.12,876.31,1,,,,,,,,,,,,,,,,
42.89,7.37,102.259906662981,11.9600300346372,0.931973121715222,109.843546721421,1.04020064136706,0.863916425790582,740.860439212978,731.854393119263,1801.20921874297,96.5932663853257,-37.4633050964538,57644.3257371652,797.56,88.37,1,,,,,,,,,,,,,,,,
31.82,4.55,59.7521897573459,8.91729948868473,0.826120472914172,62.2168486074196,1.04383043556118,0.757881175079882,341.865917524761,337.394666922959,894.250120360413,54.1324360861919,-13.9482942196927,29274.7140315304,367.17,47.69,1,,,,,,,,,,,,,,,,
28.14,4.05,57.9865965221171,8.78930594450617,0.819373036950507,59.6660026919444,1.03411155319521,0.751853868073711,327.016329721712,322.81901299498,839.463345346374,51.2594790972088,-17.2822480174988,29472.9426593242,351.97,46.27,1,,,,,,,,,,,,,,,,
24.47,3.44,52.7276587301289,8.3882576800746,0.798366724599854,54.7017549111834,1.03251250966636,0.736035366845115,284.122640689085,280.568172599882,710.893617840634,47.0841672384581,-14.5498229146376,26502.6157658311,307.01,40.25,1,,,,,,,,,,,,,,,,
23.64,3.18,49.1593161195547,8.01017259976586,0.787963958386877,50.9151017930805,1.02700934107811,0.723726010916663,258.308927374585,254.84210037731,693.365399455035,43.2603686599626,-16.2904107050168,25606.8351269412,276.83,38.5,1,,,,,,,,,,,,,,,,
28.44,3.39,39.748765675363,7.10136257055205,0.747981960226534,42.1342270356679,1.04601098470885,0.685230210118504,190.712298363932,187.935836641781,555.292344430325,36.6821465778656,-6.00325325143138,18354.7219265977,203.76,31.17,1,,,,,,,,,,,,,,,,
